ts,open,high,low,close,volume,vol_achat,vol_vente,n_trades,n_achat,gros_achat,gros_vente,moyen_achat,moyen_vente,trade_max
1772975100,67236.9,67270.2,67169.1,67262.4,374.138,177.212,196.926,5985,2841,71.107,60.408,74.886,95.102,480789.5523
1772975400,67262.4,67272.9,66902.7,66939.9,2252.241,869.931,1382.31,12330,4561,583.831,606.613,226.694,652.413,6307179.0
1772975700,66939.8,67072.5,66870.8,67040.5,963.098,537.071,426.027,8813,4994,230.588,230.79,239.853,141.456,1657007.945
1772976000,67040.5,67100.0,66952.0,66977.1,348.468,158.719,189.749,5254,2424,57.739,72.954,68.936,78.645,2013595.2945
1772976300,66977.1,67166.6,66730.0,67120.3,1849.86,873.374,976.486,20037,10406,320.999,413.482,422.423,439.304,3146049.69
1772976600,67120.2,67123.7,66923.3,66970.1,588.636,290.201,298.435,7531,3167,176.232,104.024,78.324,139.226,5703431.59
1772976900,66969.4,67076.9,66965.6,67020.0,279.054,159.973,119.081,5547,2945,70.703,40.926,54.345,47.485,1280660.8311
1772977200,67019.9,67032.6,66800.0,67026.3,769.426,339.456,429.97,10129,4931,127.878,151.857,153.054,207.153,784433.1024
1772977500,67026.3,67158.0,67014.7,67128.4,581.155,304.973,276.182,8600,4662,127.848,114.012,122.37,114.426,1951616.2806
1772977800,67128.5,67190.0,67075.6,67125.5,483.647,245.453,238.194,5481,2913,101.816,149.84,105.097,56.489,2181386.1201
1772978100,67125.5,67258.6,67125.5,67196.9,571.9,321.775,250.125,6289,3659,129.395,107.438,135.048,105.277,1517913.6
1772978400,67196.8,67280.0,67154.9,67260.0,341.406,173.268,168.138,5602,2993,48.949,47.628,84.511,81.852,471247.365
1772978700,67260.0,67362.5,67195.1,67264.0,536.634,302.541,234.093,7194,3720,134.916,81.973,117.404,107.059,1455227.9
1772979000,67263.9,67294.5,67240.3,67253.3,186.399,87.32,99.079,3001,1534,21.668,32.172,46.388,44.892,533291.0607
1772979300,67253.2,67399.9,67253.2,67333.5,506.692,312.028,194.664,6620,3790,95.596,100.762,171.612,59.373,1978590.8124
1772979600,67333.4,67364.4,67263.0,67355.0,237.559,97.047,140.512,4358,2231,26.774,59.98,40.677,51.722,1873632.0
1772979900,67354.9,67374.2,67201.1,67225.4,297.813,115.368,182.445,4528,1690,51.135,45.085,42.999,93.25,1534691.2416
1772980200,67225.3,67347.5,67206.6,67206.6,217.463,133.022,84.441,4246,2112,54.424,17.545,52.784,39.43,313700.1736
1772980500,67206.7,67303.3,67191.4,67247.5,372.343,175.584,196.759,4822,2491,97.197,104.512,51.977,66.311,2653211.6343
1772980800,67247.5,67275.9,67018.0,67093.6,933.091,400.776,532.315,10332,4209,138.299,180.351,213.504,271.855,926074.55
